,0,1
0,Yards,[ 0.02]
1,QB Sacks,[ 0.]
2,QB Years,[ 0.]
3,QB Height,[ 0.]
4,QB Weight,[ 0.]
5,QB Fumbles,[-0.21]
6,QB Rush Att,[-0.05]
7,QB Passer Rating,[ 0.01]
8,Receiver Years,[ 0.]
9,Receiver Height,[-0.01]
10,Receiver Weight,[-0.]
11,A.Dalton,[-0.01]
12,A.Davis,[ 0.05]
13,A.Luck,[-0.03]
14,A.McCarron,[ 0.05]
15,A.Rodgers,[-0.]
16,A.Smith,[ 0.]
17,A.Tanney,[ 0.]
18,B.Bortles,[-0.02]
19,B.Daniels,[ 0.]
20,B.Gabbert,[ 0.]
21,B.Hoyer,[ 0.]
22,B.Osweiler,[-0.12]
23,B.Weeden,[-0.14]
24,C.Daniel,[ 0.]
25,C.Kaepernick,[ 0.03]
26,C.Keenum,[ 0.]
27,C.McCoy,[ 0.]
28,C.Newton,[ 0.]
29,C.Palmer,[-0.48]
30,C.Whitehurst,[ 0.]
31,D.Anderson,[ 0.]
32,D.Brees,[ 0.]
33,D.Carr,[ 0.]
34,D.Orlovsky,[-0.16]
35,D.Stanton,[ 0.]
36,E.Manning,[-0.03]
37,E.Manuel,[-0.08]
38,G.Smith,[ 0.]
39,J.Clausen,[ 0.]
40,J.Cutler,[ 0.09]
41,J.Flacco,[ 0.03]
42,J.Garoppolo,[ 0.]
43,J.Manziel,[ 0.04]
44,J.McCown,[-0.12]
45,J.Winston,[-0.03]
46,Jo.Freeman,[ 0.]
47,K.Clemens,[ 0.]
48,K.Cousins,[ 0.]
49,K.Moore,[ 0.]
50,L.Jones,[ 0.]
51,L.McCown,[ 0.38]
52,M.Cassel,[ 0.]
53,M.Hasselbeck,[ 0.]
54,M.Mariota,[-0.11]
55,M.McGloin,[ 0.13]
56,M.Ryan,[ 0.]
57,M.Sanchez,[ 0.]
58,M.Schaub,[ 0.09]
59,M.Stafford,[ 0.]
60,M.Vick,[-0.07]
61,N.Foles,[ 0.]
62,P.Manning,[ 0.]
63,P.Rivers,[-0.]
64,R.Fitzpatrick,[ 0.]
65,R.Lindley,[ 0.]
66,R.Mallett,[-0.03]
67,R.Nassib,[ 0.14]
68,R.Tannehill,[ 0.]
69,R.Wilson,[ 0.]
70,S.Bradford,[ 0.]
71,S.Mannion,[ 0.28]
72,S.Renfree,[ 0.]
73,S.Tolzien,[ 0.]
74,T.Brady,[ 0.]
75,T.Bridgewater,[ 0.01]
76,T.Romo,[ 0.04]
77,T.Taylor,[ 0.12]
78,T.Yates,[-0.32]
79,Z.Mettenberger,[ 0.04]
80,TE,[-0.27]
81,WR,[-0.71]
82,2,[ 0.66]
83,3,[-0.12]
84,4,[ 0.]
85,5,[ 0.96]
86,6,[-0.17]
87,7,[ 0.]
88,10,[-0.39]
89,29,[ 0.]
90,31,[-0.11]
91,32,[-0.24]
92,33,[ 0.03]
93,34,[ 0.15]
94,56,[-1.25]
95,57,[-1.02]
96,58,[ 0.2]
97,59,[-0.3]
98,60,[-0.07]
99,61,[ 0.]
100,62,[ 0.14]
101,65,[ 0.15]
102,79,[ 0.]
103,80,[ 0.34]
104,81,[ 0.]
105,82,[-0.36]
106,83,[ 0.]
107,84,[-0.06]
108,87,[ 0.29]
109,105,[ 0.]
110,106,[ 0.]
111,109,[-0.24]
112,110,[ 0.]
113,111,[-0.54]
114,132,[-0.38]
115,134,[ 0.17]
116,135,[ 0.]
117,136,[ 0.7]
118,137,[ 0.46]
119,138,[ 0.]
120,139,[ 0.44]
121,140,[ 0.]
122,157,[ 0.]
