,0,1
482,1463,[ 0.08971766]
483,1464,[ 0.08908683]
484,1471,[-0.2109882]
485,1478,[ 0.10132997]
486,1481,[-0.06769631]
487,1482,[-0.38308623]
488,1488,[ 0.18734126]
489,1496,[ 0.08088042]
490,1500,[ 0.07911749]
491,1521,[-0.09247608]
492,1522,[-0.19725274]
493,1523,[-0.32745412]
494,1524,[-0.57694695]
495,1532,[ 0.05305694]
496,1535,[-0.07805798]
497,1536,[ 0.20521073]
498,1545,[ 0.06212205]
499,1565,[-0.26716475]
500,1571,[ 0.05727765]
501,Down 1,[ 0.36063678]
502,Down 2,[ 0.36141526]
503,Down 3,[ 0.17277089]
504,ARI,[-0.09266382]
505,ATL,[ 0.07298356]
506,BAL,[-0.01430067]
507,BUF,[ 0.0068946]
508,CAR,[ 0.06701744]
509,CHI,[ 0.07831322]
510,CIN,[ 0.00677323]
511,CLE,[-0.00546513]
512,DAL,[ 0.11548171]
513,DEN,[-0.02491517]
514,DET,[-0.11417935]
515,GB,[ 0.03372417]
516,HOU,[-0.13824388]
517,IND,[-0.10861012]
518,JAC,[-0.02776503]
519,KC,[ 0.09308458]
520,MIA,[ 0.0178397]
521,MIN,[ 0.08070571]
522,NE,[-0.18273421]
523,NO,[ 0.22793678]
524,NYG,[ 0.07772452]
525,NYJ,[-0.09206683]
526,OAK,[ 0.12506147]
527,PHI,[ 0.074199]
528,SD,[ 0.04092218]
529,SEA,[ 0.02174299]
530,SF,[-0.07675973]
531,STL,[ 0.04582779]
532,TB,[-0.02662341]
533,TEN,[-0.00174298]
534,WAS,[-0.00883875]
