,0,1
0,Yards,[ 0.02346623]
1,QB Sacks,[ 0.01498323]
2,QB Years,[-0.00335684]
3,QB Height,[ 0.01793257]
4,QB Weight,[ 0.00229762]
5,QB Fumbles,[-0.23979778]
6,QB Rush Att,[-0.04331935]
7,QB Passer Rating,[ 0.01237952]
8,Receiver Years,[-0.00241064]
9,Receiver Height,[-0.04338545]
10,Receiver Weight,[ 0.00313085]
11,A.Dalton,[ 0.02321644]
12,A.Davis,[ 0.05674164]
13,A.Luck,[-0.04123017]
14,A.McCarron,[-0.01644321]
15,A.Rodgers,[-0.02717288]
16,A.Smith,[-0.01615544]
17,A.Tanney,[-0.02213908]
18,B.Bortles,[-0.02776503]
19,B.Daniels,[ 0.09352116]
20,B.Gabbert,[-0.0574734]
21,B.Hoyer,[ 0.09483503]
22,B.Osweiler,[-0.13458175]
23,B.Weeden,[-0.10013247]
24,C.Daniel,[ 0.10924002]
25,C.Kaepernick,[-0.01928633]
26,C.Keenum,[-0.07481865]
27,C.McCoy,[-0.07806378]
28,C.Newton,[ 0.00636073]
29,C.Palmer,[-0.27456371]
30,C.Whitehurst,[-0.06273325]
31,D.Anderson,[ 0.06065672]
32,D.Brees,[-0.07602171]
33,D.Carr,[-0.07379291]
34,D.Orlovsky,[-0.19229013]
35,D.Stanton,[ 0.18189989]
36,E.Manning,[-0.13565301]
37,E.Manuel,[-0.13729868]
38,G.Smith,[-0.08982529]
39,J.Clausen,[-0.03173621]
40,J.Cutler,[ 0.07831322]
41,J.Flacco,[ 0.01523923]
42,J.Garoppolo,[-0.13774103]
43,J.Manziel,[ 0.0700305]
44,J.McCown,[-0.13223727]
45,J.Winston,[-0.02662341]
46,Jo.Freeman,[ 0.04702493]
47,K.Clemens,[ 0.02251391]
48,K.Cousins,[ 0.06922502]
49,K.Moore,[ 0.01112888]
50,L.Jones,[-0.09733609]
51,L.McCown,[ 0.30395849]
52,M.Cassel,[ 0.00552398]
53,M.Hasselbeck,[ 0.06056908]
54,M.Mariota,[-0.06877359]
55,M.McGloin,[ 0.19885438]
56,M.Ryan,[ 0.00822626]
57,M.Sanchez,[ 0.05411948]
58,M.Schaub,[ 0.11638802]
59,M.Stafford,[ 0.07811078]
60,M.Vick,[ 0.01819664]
61,N.Foles,[-0.11955111]
62,P.Manning,[ 0.10966659]
63,P.Rivers,[ 0.01840827]
64,R.Fitzpatrick,[-0.00224154]
65,R.Lindley,[-0.11224071]
66,R.Mallett,[-0.1141917]
67,R.Nassib,[ 0.21337753]
68,R.Tannehill,[ 0.0178397]
69,R.Wilson,[ 0.02174299]
70,S.Bradford,[ 0.02007952]
71,S.Mannion,[ 0.24019755]
72,S.Renfree,[ 0.0647573]
73,S.Tolzien,[ 0.06089705]
74,T.Brady,[-0.04499318]
75,T.Bridgewater,[ 0.08070571]
76,T.Romo,[ 0.09882885]
77,T.Taylor,[ 0.14419328]
78,T.Yates,[-0.2264676]
79,Z.Mettenberger,[ 0.08916969]
80,TE,[-0.25699083]
81,WR,[-0.5599511]
82,2,[ 0.50587479]
83,3,[-0.32626063]
84,4,[-0.10656177]
85,5,[ 0.85576731]
86,6,[-0.271929]
87,7,[ 0.04327836]
88,10,[-0.38133533]
89,29,[ 0.12847231]
90,31,[-0.25653617]
91,32,[-0.30201797]
92,33,[ 0.14144394]
93,34,[ 0.18439842]
94,56,[-0.32566826]
95,57,[-0.90940444]
96,58,[ 0.40502376]
97,59,[-0.29535373]
98,60,[-0.06413416]
99,61,[ 0.05968193]
100,62,[ 0.25411662]
101,65,[ 0.32744025]
102,79,[-0.0381121]
103,80,[ 0.55380669]
104,81,[-0.02933236]
105,82,[-0.30082559]
106,83,[-0.05067453]
107,84,[-0.03758058]
108,87,[ 0.29821262]
109,105,[ 0.0351558]
110,106,[ 0.02175835]
111,109,[-0.20523605]
112,110,[ 0.04015953]
113,111,[-0.44072687]
114,132,[-0.42062389]
115,134,[ 0.093364]
116,135,[ 0.06961961]
117,136,[ 0.63517732]
118,137,[ 0.44337691]
119,138,[ 0.161113]
120,139,[ 0.19917127]
121,140,[-0.00315511]
122,157,[-0.01537945]
123,158,[ 0.41027598]
124,159,[ 0.26781476]
125,160,[ 0.02651246]
126,161,[-0.07678521]
127,162,[-0.11330877]
128,163,[-0.03417916]
129,164,[ 0.61453645]
130,184,[-0.10691463]
131,186,[ 0.16701259]
132,187,[-0.16748632]
133,188,[ 0.57389926]
134,189,[ 0.0039097]
135,190,[-0.37282231]
136,191,[-0.13722816]
137,192,[-0.69526965]
138,209,[-0.16358715]
139,210,[ 0.48668262]
140,211,[-0.03481847]
141,212,[ 0.08029821]
142,213,[ 0.11721548]
143,215,[-0.37062695]
144,216,[ 0.14684696]
145,217,[-0.47196994]
146,218,[ 0.31622824]
147,237,[ 0.36548845]
148,238,[ 0.33891503]
149,239,[-0.00754896]
150,240,[-0.62319856]
151,241,[ 0.28603824]
152,242,[-0.53297697]
153,243,[-0.20450147]
154,264,[ 0.12864238]
155,265,[ 0.00621673]
156,266,[-0.30179591]
157,267,[ 0.148184]
158,268,[ 0.02581709]
159,269,[-0.07876668]
160,289,[-0.53745102]
161,291,[-0.48642644]
162,292,[ 0.17395869]
163,293,[-0.20305969]
164,294,[-0.41063305]
165,295,[ 0.07353642]
166,296,[ 0.28998114]
167,314,[ 0.30480921]
168,315,[ 0.38303285]
169,316,[ 0.37402598]
170,317,[ 0.38956574]
171,318,[-0.02004514]
172,323,[-0.55228075]
173,324,[ 0.21283528]
174,340,[ 0.51375291]
175,341,[ 0.18724401]
176,342,[ 0.28370639]
177,343,[-0.57358139]
178,344,[ 0.11843046]
179,345,[ 0.10306399]
180,346,[ 0.08285866]
181,348,[ 0.26920613]
182,349,[-0.09836517]
183,372,[ 0.3794503]
184,373,[ 0.43725803]
185,374,[-0.17489904]
186,375,[ 0.25786386]
187,376,[-0.14965628]
188,377,[ 0.10232814]
189,378,[-0.28270059]
190,379,[-0.02298668]
191,380,[-0.46110351]
192,400,[-0.11235303]
193,401,[-0.01206879]
194,402,[-0.22477182]
195,403,[ 0.37680588]
196,405,[ 0.2391859]
197,423,[-0.28250039]
198,424,[-0.52071122]
199,425,[-0.25877191]
200,426,[ 0.44059986]
201,427,[ 0.27342172]
202,428,[-0.22747032]
203,429,[ 0.19436473]
204,430,[ 0.79183382]
205,431,[-0.2610634]
206,434,[-0.54689848]
207,451,[-0.11833538]
208,452,[ 0.2330398]
209,453,[ 0.2867405]
210,455,[ 0.15209073]
211,456,[-0.2107014]
212,457,[ 0.14454111]
213,458,[ 0.04124024]
214,477,[ 0.61842964]
215,478,[-0.0740989]
216,479,[ 0.25497139]
217,480,[ 0.56360108]
218,481,[-0.73602359]
219,482,[-0.19521382]
220,483,[ 0.15735801]
221,502,[-0.40994851]
222,503,[ 0.10667077]
223,504,[ 0.03540492]
224,505,[ 0.27384121]
225,506,[ 0.29309646]
226,507,[ 0.09526025]
227,508,[ 0.38270609]
228,530,[-0.07085334]
229,531,[-0.23914477]
230,532,[-0.11415633]
231,533,[-0.24549596]
232,534,[ 0.45683866]
233,535,[ 0.07320781]
234,536,[-0.20912542]
235,556,[-0.04182554]
236,557,[-0.10966686]
237,558,[-0.26189036]
238,560,[ 0.24961745]
239,561,[-0.02824426]
240,562,[-0.01134627]
241,563,[ 0.03094034]
242,564,[ 0.00484516]
243,567,[ 0.25297989]
244,585,[ 0.15884969]
245,586,[ 0.13503812]
246,587,[ 0.32171041]
247,588,[-0.23924813]
248,589,[-0.00307988]
249,590,[-0.07036745]
250,592,[-0.32759406]
251,593,[ 0.24414544]
252,594,[ 0.08394131]
253,597,[ 0.62806895]
254,611,[-0.34622434]
255,612,[-0.06725768]
256,613,[-0.16942251]
257,614,[ 0.17067951]
258,615,[-0.03201387]
259,616,[ 0.22327139]
260,617,[ 0.01892263]
261,621,[ 0.05894496]
262,640,[-0.00610533]
263,641,[ 0.04994218]
264,642,[ 0.1625934]
265,643,[ 0.42718876]
266,644,[-0.40490479]
267,645,[-0.22343447]
268,646,[-0.02413218]
269,667,[-0.35446434]
270,668,[ 0.17238688]
271,669,[ 0.06699713]
272,671,[ 0.46872274]
273,672,[ 0.19251325]
274,673,[-0.13802011]
275,674,[-0.29359634]
276,675,[-0.02770438]
277,698,[ 0.02573066]
278,700,[ 0.17975233]
279,701,[ 0.22931003]
280,702,[ 0.12398683]
281,703,[ 0.38467928]
282,704,[-0.66082572]
283,705,[ 0.19784886]
284,723,[ 0.05601047]
285,724,[ 0.07015895]
286,725,[ 0.13630503]
287,726,[-0.2413434]
288,728,[ 0.30993264]
289,729,[ 0.37238045]
290,731,[ 0.3535234]
291,751,[ 0.11152936]
292,752,[-0.903766]
293,753,[ 0.39978158]
294,754,[ 0.28305066]
295,755,[ 0.09263869]
296,756,[ 0.40013294]
297,757,[-0.28150132]
298,761,[ 0.08284936]
299,779,[-0.42467447]
300,780,[-0.0318298]
301,781,[ 0.33817524]
302,782,[ 0.42013534]
303,783,[ 0.36864405]
304,785,[ 0.03517364]
305,786,[-0.32617463]
306,787,[-0.30761521]
307,788,[ 0.15633994]
308,808,[ 0.24724585]
309,809,[ 0.08964451]
310,810,[-0.44860637]
311,811,[ 0.21113519]
312,812,[ 0.07643285]
313,813,[ 0.20298644]
314,814,[ 0.06927701]
315,815,[-0.22249389]
316,816,[ 0.23730175]
317,834,[ 0.42918289]
318,835,[-0.20087325]
319,836,[ 0.48373585]
320,837,[-0.26966647]
321,838,[ 0.15394188]
322,839,[-0.40448181]
323,840,[-0.00336199]
324,841,[-0.41497519]
325,842,[ 0.09413579]
326,863,[-0.00291522]
327,867,[ 0.48082134]
328,876,[-0.58339297]
329,880,[ 0.02843675]
330,882,[-0.02796382]
331,886,[ 0.19629022]
332,887,[ 0.19224316]
333,902,[-0.2470917]
334,903,[ 0.18834876]
335,904,[-0.06087882]
336,907,[ 0.08954524]
337,908,[-0.31665175]
338,911,[-0.13340432]
339,920,[-0.0429003]
340,926,[ 0.2950481]
341,927,[-0.8346515]
342,930,[ 0.27793117]
343,931,[ 0.02352372]
344,932,[ 0.15005284]
345,939,[ 0.13471235]
346,951,[-0.12875527]
347,952,[-0.70410192]
348,957,[-0.09522289]
349,960,[-0.32779926]
350,966,[-0.27129806]
351,968,[ 0.19803665]
352,969,[-0.02182447]
353,970,[ 0.02268386]
354,972,[-0.41017699]
355,979,[ 0.14029603]
356,981,[-0.2235625]
357,986,[ 0.34407996]
358,987,[-0.09754335]
359,994,[-0.1154528]
360,995,[ 0.06234459]
361,1003,[-0.10253591]
362,1012,[-0.11226281]
363,1016,[-0.26010595]
364,1021,[ 0.25571521]
365,1022,[ 0.46532132]
366,1028,[ 0.07273558]
367,1029,[-0.54645344]
368,1030,[-0.65209542]
369,1031,[ 0.01628621]
370,1038,[-0.2041907]
371,1039,[ 0.09448969]
372,1042,[ 0.12825966]
373,1045,[-0.08732464]
374,1046,[ 0.37530192]
375,1048,[ 0.32963151]
376,1049,[ 0.63268051]
377,1051,[ 0.17047368]
378,1053,[ 0.07828163]
379,1055,[-0.12594784]
380,1058,[-0.1211875]
381,1059,[ 0.09807207]
382,1067,[ 0.16888054]
383,1071,[-0.39622595]
384,1073,[-0.00961919]
385,1074,[ 0.70292202]
386,1078,[-0.1994749]
387,1080,[ 0.02583696]
388,1087,[-0.04788155]
389,1093,[ 0.0563807]
390,1098,[-0.10207913]
391,1101,[-0.13164498]
392,1102,[ 0.10789271]
393,1106,[ 0.04325155]
394,1111,[-0.11450886]
395,1112,[-0.02483043]
396,1116,[-0.01033569]
397,1117,[-0.2813226]
398,1121,[-0.22460439]
399,1133,[ 0.3948688]
400,1137,[-0.4374968]
401,1146,[-0.55264877]
402,1150,[ 0.59618102]
403,1157,[ 0.07127837]
404,1158,[-0.09612816]
405,1159,[ 0.05343835]
406,1165,[-0.29562022]
407,1175,[ 0.25604035]
408,1178,[ 0.11238327]
409,1181,[-0.01067276]
410,1182,[-0.45871534]
411,1184,[ 0.0363377]
412,1191,[-0.35000884]
413,1193,[-0.03521197]
414,1201,[-0.04787161]
415,1208,[-0.07616279]
416,1212,[-0.16432179]
417,1215,[ 0.21497814]
418,1219,[ 0.23387567]
419,1220,[ 0.16436333]
420,1225,[-0.64752228]
421,1228,[-0.03654531]
422,1229,[-0.40257725]
423,1231,[ 0.26908084]
424,1240,[ 0.08877668]
425,1242,[-0.17496508]
426,1256,[-0.09829309]
427,1257,[ 0.34345734]
428,1260,[ 0.08796216]
429,1262,[-0.10731652]
430,1263,[-0.08243278]
431,1267,[ 0.29308371]
432,1275,[-0.78291006]
433,1276,[ 0.34155163]
434,1279,[ 0.03633691]
435,1283,[ 0.05468615]
436,1291,[-0.14331724]
437,1297,[-0.14886893]
438,1299,[ 0.29119274]
439,1302,[-0.57560066]
440,1303,[ 0.17657255]
441,1306,[-0.02757491]
442,1310,[-0.04892739]
443,1315,[-0.53017517]
444,1321,[-0.05525983]
445,1326,[ 0.07059998]
446,1331,[ 0.18508817]
447,1333,[ 0.13331402]
448,1334,[-0.67599791]
449,1338,[-0.04083297]
450,1343,[-0.39183116]
451,1350,[-0.15011592]
452,1356,[-0.14399639]
453,1359,[-0.19998431]
454,1360,[ 0.11700453]
455,1364,[ 0.07790848]
456,1370,[-0.36340162]
457,1371,[ 0.26507277]
458,1375,[ 0.15047594]
459,1376,[ 0.09489904]
460,1381,[ 0.38780683]
461,1385,[ 0.11915353]
462,1391,[ 0.55605873]
463,1397,[-0.20968772]
464,1398,[-0.0744471]
465,1400,[ 0.08136583]
466,1402,[-0.09594486]
467,1403,[ 0.11169593]
468,1404,[ 0.03425384]
469,1408,[ -6.19735868e-05]
470,1417,[-0.37869143]
471,1423,[ 0.06225177]
472,1424,[-0.16481677]
473,1428,[-0.17778481]
474,1433,[ 0.07838518]
475,1438,[-0.15631088]
476,1443,[-0.14843835]
477,1447,[-0.13775354]
478,1456,[ 0.16362011]
479,1460,[ 0.18427505]
480,1461,[ 0.25994594]
481,1462,[-0.06812311]
